2019-08-26 15:08:56,551,166100166
2019-08-26 15:39:06,551,930740679
2019-08-26 15:41:54,551,660166834
2019-08-27 16:23:58,587,166100166
2019-08-27 16:36:44,587,930740679
2019-08-27 16:45:44,587,660166834
2019-08-28 15:02:45,551,930740679
2019-08-28 15:10:15,551,166100166
2019-08-28 15:17:46,551,660166834
2019-08-29 16:00:30,587,660166834
2019-08-29 16:20:05,587,930740679
2019-08-30 15:05:03,551,930740679
2019-08-30 15:35:24,551,166100166
2019-09-02 15:12:05,551,930740679
2019-09-02 15:20:19,551,660166834
2019-09-03 16:05:59,587,930740679
2019-09-03 16:31:22,587,166100166
2019-09-04 15:06:47,551,930740679
2019-09-04 15:24:52,551,166100166
2019-09-04 15:48:34,551,660166834
2019-09-05 15:55:12,587,660166834
2019-09-05 16:21:40,587,166100166
2019-09-05 16:39:17,587,930740679
2019-09-06 15:28:29,551,166100166
